               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078376,            0.037766,            0.032997,             0.25628,             0.46228,             0.29207,             0.09019,            0.054581,            0.018418,            0.024968,           0.0033261,           0.0033261,            0.070065
                   1,            0.060119,            0.028734,            0.021146,             0.49336,             0.60388,             0.53499,             0.17956,            0.048395,            0.016232,            0.013624,           0.0066593,           0.0066593,            0.040065
                   2,            0.054555,            0.026904,            0.016598,             0.47483,             0.66379,             0.53925,             0.17914,            0.048727,            0.015889,            0.012143,           0.0099919,           0.0099919,            0.010064
                   3,            0.051071,             0.02681,            0.015276,             0.61398,             0.63917,             0.62236,             0.23657,            0.045053,            0.016552,            0.012398,            0.009998,            0.009998,            0.009998
                   4,            0.047518,             0.02646,             0.01331,             0.72294,             0.63939,             0.68081,             0.24312,            0.046704,             0.01501,            0.010446,            0.009998,            0.009998,            0.009998
                   5,            0.046464,            0.025828,            0.012581,             0.71398,             0.71949,             0.71336,             0.25676,             0.04464,            0.015301,           0.0098776,           0.0099965,           0.0099965,           0.0099965
                   6,            0.045015,            0.025749,            0.011763,             0.73769,             0.66428,             0.68461,             0.25876,            0.043999,            0.015623,           0.0098015,           0.0099945,           0.0099945,           0.0099945
                   7,            0.044502,            0.025705,            0.010774,             0.72237,             0.72991,             0.71303,             0.27614,             0.04268,            0.015174,            0.010244,           0.0099921,           0.0099921,           0.0099921
                   8,            0.043956,            0.025025,            0.010543,             0.78123,             0.69333,             0.71686,             0.27766,            0.044111,            0.015143,           0.0089936,           0.0099893,           0.0099893,           0.0099893
                   9,            0.043046,            0.024957,             0.01015,              0.7301,             0.76475,              0.7325,             0.29428,            0.042484,            0.014708,           0.0088218,            0.009986,            0.009986,            0.009986
                  10,            0.043241,            0.024718,           0.0088502,             0.74805,             0.69647,              0.7125,             0.27558,            0.043053,            0.014981,           0.0097749,           0.0099822,           0.0099822,           0.0099822
                  11,            0.042901,             0.02509,           0.0089028,             0.74876,             0.74761,             0.73522,             0.29041,            0.042794,            0.014711,           0.0089059,           0.0099781,           0.0099781,           0.0099781
                  12,            0.042015,            0.024019,           0.0083488,             0.69582,             0.75505,             0.72585,              0.2923,            0.042559,            0.014942,           0.0092052,           0.0099735,           0.0099735,           0.0099735
                  13,            0.041669,            0.023918,           0.0078251,             0.76085,             0.72467,             0.73729,             0.29504,            0.043107,            0.014849,           0.0089346,           0.0099685,           0.0099685,           0.0099685
                  14,            0.041434,            0.023715,           0.0085857,             0.72638,             0.73585,             0.72427,             0.28093,            0.043297,            0.014922,           0.0091446,            0.009963,            0.009963,            0.009963
                  15,            0.041491,            0.023757,           0.0082339,             0.75767,             0.76189,             0.75078,             0.30829,            0.042731,            0.014665,           0.0088814,           0.0099571,           0.0099571,           0.0099571
                  16,            0.040933,            0.023377,           0.0074933,             0.76974,             0.70221,             0.74808,             0.30439,            0.041971,            0.014781,           0.0098666,           0.0099508,           0.0099508,           0.0099508
                  17,            0.040571,            0.023342,           0.0074547,             0.73133,             0.73259,             0.72802,             0.29514,            0.043073,            0.014818,            0.009697,            0.009944,            0.009944,            0.009944
                  18,            0.040209,            0.023546,           0.0071773,             0.75934,             0.72642,             0.73121,             0.28119,             0.04317,            0.014793,           0.0090741,           0.0099368,           0.0099368,           0.0099368
                  19,            0.039731,            0.023309,           0.0067289,             0.76199,             0.73645,              0.7308,             0.29563,            0.042702,            0.014831,            0.010732,           0.0099291,           0.0099291,           0.0099291
                  20,             0.03903,            0.022672,            0.006413,             0.73781,             0.75819,             0.73915,             0.29541,            0.043192,            0.014824,           0.0096786,           0.0099211,           0.0099211,           0.0099211
                  21,            0.039074,             0.02311,           0.0065168,             0.76798,             0.70691,             0.72832,             0.28386,            0.043671,            0.014914,             0.01055,           0.0099126,           0.0099126,           0.0099126
                  22,            0.039106,            0.023322,           0.0059614,             0.73749,             0.70321,             0.70816,             0.28901,            0.044083,            0.015071,            0.010286,           0.0099037,           0.0099037,           0.0099037
                  23,            0.038541,            0.022397,           0.0059098,              0.7412,             0.72469,             0.72064,             0.29452,             0.04288,            0.014962,             0.01058,           0.0098943,           0.0098943,           0.0098943
                  24,            0.038203,            0.022785,           0.0056895,              0.7379,             0.75811,             0.73232,             0.29562,            0.043141,             0.01529,           0.0093167,           0.0098845,           0.0098845,           0.0098845
                  25,            0.038294,            0.022781,           0.0060801,             0.74514,             0.70415,             0.70731,             0.28299,            0.043324,            0.015377,            0.011691,           0.0098743,           0.0098743,           0.0098743
                  26,            0.038041,            0.023068,           0.0060239,             0.73059,              0.7218,             0.70431,              0.2838,            0.043937,            0.014987,           0.0095248,           0.0098637,           0.0098637,           0.0098637
                  27,            0.037956,            0.022078,           0.0056017,             0.74519,             0.69318,             0.70571,             0.29452,            0.043111,            0.015426,            0.010958,           0.0098527,           0.0098527,           0.0098527
                  28,            0.037476,            0.022146,           0.0056545,             0.77891,                0.73,             0.74633,             0.30788,            0.042554,            0.014961,           0.0088006,           0.0098412,           0.0098412,           0.0098412
                  29,            0.036969,            0.022343,           0.0054357,             0.73906,             0.74987,             0.74412,             0.30708,            0.043014,             0.01528,           0.0098415,           0.0098293,           0.0098293,           0.0098293
                  30,            0.036642,            0.022275,           0.0049548,             0.77032,             0.69947,             0.72612,             0.30075,            0.042977,             0.01524,           0.0094608,            0.009817,            0.009817,            0.009817
