               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082427,            0.037474,            0.035038,             0.27723,             0.35119,             0.24445,            0.066373,            0.057095,            0.019942,             0.03065,             0.00289,             0.00289,             0.07399
                   1,            0.060631,             0.03057,            0.027147,             0.38142,             0.51872,             0.38124,             0.11706,            0.054887,            0.016563,            0.019371,           0.0057899,           0.0057899,             0.04789
                   2,            0.056171,            0.029063,            0.022342,             0.57942,             0.58679,             0.58736,             0.22364,            0.046912,            0.016142,             0.01802,           0.0086892,           0.0086892,            0.021789
                   3,             0.05354,            0.028829,            0.020012,             0.58359,             0.52294,             0.53895,             0.19379,            0.049886,            0.017092,             0.01869,            0.009998,            0.009998,            0.009998
                   4,            0.050602,            0.028722,            0.018512,             0.60887,             0.58151,             0.60623,             0.21641,            0.046319,            0.016886,            0.017184,            0.009998,            0.009998,            0.009998
                   5,            0.048449,            0.027572,            0.017291,             0.68672,             0.63728,              0.6642,             0.25081,            0.046543,            0.015739,            0.014715,           0.0099965,           0.0099965,           0.0099965
                   6,            0.047294,            0.027688,            0.016066,             0.71283,             0.64155,             0.68192,             0.26946,            0.044333,            0.015471,            0.015293,           0.0099945,           0.0099945,           0.0099945
                   7,            0.046879,            0.027359,            0.014681,             0.70617,             0.66558,             0.70357,             0.28229,            0.044176,            0.015513,            0.011786,           0.0099921,           0.0099921,           0.0099921
                   8,            0.045969,            0.026403,            0.014594,             0.76299,             0.68226,             0.73313,             0.29456,            0.043301,            0.015554,            0.012548,           0.0099893,           0.0099893,           0.0099893
                   9,            0.044875,            0.026199,            0.013779,             0.78223,             0.68962,              0.7529,             0.30945,             0.04333,            0.015192,            0.010541,            0.009986,            0.009986,            0.009986
                  10,            0.044586,            0.025955,            0.013125,             0.69997,             0.70651,             0.71677,             0.28526,            0.043848,            0.015347,            0.011919,           0.0099822,           0.0099822,           0.0099822
                  11,            0.044187,            0.025813,            0.012194,             0.76116,             0.71703,             0.74331,             0.30798,            0.042306,            0.015194,            0.011153,           0.0099781,           0.0099781,           0.0099781
                  12,            0.043653,            0.025491,            0.012426,              0.7284,              0.7005,             0.73547,             0.29696,            0.043148,            0.015016,            0.012171,           0.0099735,           0.0099735,           0.0099735
                  13,            0.043542,            0.025293,             0.01268,             0.74296,             0.71918,              0.7623,             0.30273,            0.043845,            0.015397,            0.011759,           0.0099685,           0.0099685,           0.0099685
                  14,            0.042809,            0.024876,            0.011882,             0.79802,             0.71489,             0.77415,             0.31899,            0.042661,            0.015072,            0.010543,            0.009963,            0.009963,            0.009963
                  15,            0.042976,             0.02533,            0.011511,             0.71642,             0.68469,             0.71577,             0.28918,             0.04404,            0.015095,             0.01326,           0.0099571,           0.0099571,           0.0099571
                  16,            0.042627,            0.024753,            0.010938,             0.75413,             0.72473,             0.74442,             0.29551,            0.042561,            0.015157,            0.010313,           0.0099508,           0.0099508,           0.0099508
                  17,            0.042709,            0.025453,            0.010838,             0.73596,             0.69354,             0.72651,             0.29981,             0.04286,            0.015183,            0.011579,            0.009944,            0.009944,            0.009944
                  18,            0.042287,            0.024898,            0.010853,             0.83073,             0.68718,             0.76001,             0.31756,             0.04267,            0.014878,              0.0119,           0.0099368,           0.0099368,           0.0099368
                  19,            0.042333,             0.02495,            0.010517,             0.73155,             0.69361,             0.71962,             0.29482,            0.043256,            0.015059,            0.012444,           0.0099291,           0.0099291,           0.0099291
                  20,            0.042001,            0.024934,            0.010156,             0.78885,             0.70917,              0.7649,             0.32986,            0.041898,            0.015052,            0.010817,           0.0099211,           0.0099211,           0.0099211
                  21,            0.041677,            0.024436,            0.009817,             0.76388,             0.71219,             0.73438,             0.29412,            0.042828,             0.01493,            0.011577,           0.0099126,           0.0099126,           0.0099126
