               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038466,            0.024848,           0.0046165,             0.79332,             0.76297,             0.78074,             0.32203,            0.043075,            0.023625,           0.0083437,           0.0097343,           0.0097343,           0.0097343
                  37,             0.03754,            0.023662,           0.0040063,             0.81646,             0.69659,             0.75488,             0.30491,            0.042975,            0.023928,            0.010744,           0.0097191,           0.0097191,           0.0097191
                  38,            0.037321,            0.022851,           0.0043688,             0.77878,              0.7844,             0.79486,              0.3274,            0.042844,            0.023393,           0.0086574,           0.0097035,           0.0097035,           0.0097035
                  39,            0.036619,            0.023012,           0.0038272,             0.82036,             0.78585,             0.81994,             0.33618,            0.042577,            0.023723,           0.0076146,           0.0096875,           0.0096875,           0.0096875
                  40,            0.036401,            0.023449,           0.0037955,             0.79441,             0.76521,             0.79668,             0.33359,            0.042959,            0.023979,           0.0078687,            0.009671,            0.009671,            0.009671
                  41,            0.037073,            0.022569,           0.0037329,             0.81504,             0.74225,             0.78064,             0.31681,            0.043859,            0.025761,            0.008617,           0.0096542,           0.0096542,           0.0096542
                  42,            0.036874,            0.023384,           0.0039524,             0.78034,             0.75175,             0.77108,             0.31923,            0.042256,            0.023857,           0.0092759,           0.0096369,           0.0096369,           0.0096369
                  43,            0.036949,             0.02321,           0.0035308,                 0.8,             0.77822,             0.78683,             0.31789,            0.043445,            0.024253,           0.0079833,           0.0096193,           0.0096193,           0.0096193
                  44,            0.036428,            0.022479,           0.0036687,             0.83489,             0.77312,             0.80634,             0.32729,            0.043316,            0.024248,           0.0075773,           0.0096013,           0.0096013,           0.0096013
                  45,            0.035783,            0.023027,           0.0033804,             0.81325,             0.78393,             0.81555,             0.33977,             0.04249,            0.024251,           0.0079491,           0.0095828,           0.0095828,           0.0095828
                  46,             0.03606,            0.022823,           0.0037885,             0.79928,              0.7661,             0.77397,             0.31881,            0.043064,            0.024091,           0.0077306,            0.009564,            0.009564,            0.009564
                  47,            0.036036,            0.022306,           0.0037798,             0.77681,              0.7627,             0.79134,             0.33048,            0.043474,            0.024745,           0.0086918,           0.0095448,           0.0095448,           0.0095448
                  48,              0.0355,            0.022969,           0.0039697,             0.80523,             0.77129,             0.81624,             0.35129,            0.042091,            0.024232,           0.0074255,           0.0095252,           0.0095252,           0.0095252
                  49,            0.034972,            0.022666,           0.0039957,             0.82382,             0.74057,             0.80127,             0.33443,            0.042589,            0.023998,           0.0083643,           0.0095052,           0.0095052,           0.0095052
                  50,            0.035744,            0.022512,           0.0036146,             0.81634,              0.7554,              0.7944,             0.32063,            0.043546,            0.024405,           0.0081824,           0.0094849,           0.0094849,           0.0094849
                  51,            0.034678,            0.021458,           0.0036665,             0.85219,             0.75046,             0.79995,             0.33167,            0.042778,             0.02408,            0.007942,           0.0094641,           0.0094641,           0.0094641
                  52,            0.035158,            0.021905,           0.0035366,             0.83367,             0.72535,             0.78742,             0.32815,            0.042674,            0.024612,           0.0079855,            0.009443,            0.009443,            0.009443
                  53,            0.034544,            0.022424,           0.0036525,             0.81668,             0.71088,             0.76692,               0.313,            0.042753,            0.024272,           0.0095366,           0.0094215,           0.0094215,           0.0094215
                  54,            0.034445,            0.022188,           0.0028562,             0.81193,             0.75515,             0.77918,             0.32049,            0.043724,            0.024628,            0.008591,           0.0093996,           0.0093996,           0.0093996
                  55,            0.034025,            0.021624,           0.0030824,             0.80978,             0.77839,             0.80126,             0.33959,            0.042578,            0.024256,           0.0074319,           0.0093773,           0.0093773,           0.0093773
                  56,            0.033998,            0.022477,            0.003189,             0.80292,             0.75951,             0.77192,             0.31311,            0.043422,            0.024316,            0.008105,           0.0093547,           0.0093547,           0.0093547
